"lemma_it","UPOS","lemma_parm","lemma_parm_2","lemma_parm_3","lemma_parm_4","lemma_parm_5","lemma_parm_6","lemma_parm_7","lemma_parm_8","lemma_parm_9","LiITA_URI","LiITA_URI_2","LiITA_URI_3","LiITA_URI_4","LiITA_URI_5","LiITA_URI_6","LiITA_URI_7"
"filza","NOUN","filsa","sfilsa","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992291",,,,,,
"fina","ADJ","fén’na","_","_","_","_","_","_","_","_",,,,,,,
"fine","NOUN","’d cò","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992327",,,,,,
"finestra","NOUN","fnéstra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092244",,,,,,
"finestrella","NOUN","fnestréla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092245",,,,,,
"finestrino","NOUN","fnestrén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056389",,,,,,
"finezza","NOUN","finèssa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092246",,,,,,
"fingere","VERB","fénzor","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992335",,,,,,
"finimento","NOUN","finimént","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992341",,,,,,
"finire","VERB","finir","fnir","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992345",,,,,,
"finirla","VERB","fnirla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992346",,,,,,
"fino","ADP","fin","sìnna","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092251",,,,,,
"finora","ADV","finôra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992370",,,,,,
"fintanto","SCONJ","fintant","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992373",,,,,,
"finto","ADJ","fént","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/25142",,,,,,
"finzione","NOUN","fénta","finsión","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992376",,,,,,
"fioccare","VERB","fiocär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992383",,,,,,
"fiocchettino","NOUN","fiochén","_","_","_","_","_","_","_","_",,,,,,,
"fiocina","NOUN","sfrozna","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992391",,,,,,
"fionda","NOUN","fròmbla","sfròmbla","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992399",,,,,,
"fiondata","ADJ","frombläda","sfrombläda","_","_","_","_","_","_","_",,,,,,,
"fioraia","NOUN","fiorära","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056395",,,,,,
"fiorame","NOUN","fioram","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992406",,,,,,
"fiorato","ADJ","fiorä","goffrè","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992407",,,,,,
"fiordaliso","NOUN","sentävra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992408",,,,,,
"fiorire","VERB","fiorir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992437",,,,,,
"fiorito","ADJ","fiorí","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/25148",,,,,,
"fioritura","NOUN","fioridura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092264",,,,,,
"fiotto","NOUN","flùtt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992447",,,,,,
"firmare","VERB","firmär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992457",,,,,,
"fischiare","VERB","fisc’iär","suflär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992480",,,,,,
"fischiata","NOUN","fisc’iäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992481",,,,,,
"fischiatore","NOUN","fisc’iadôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992483",,,,,,
"fischietto","NOUN","suflón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992488",,,,,,
"fischietto","NOUN","fisc’én","subiôl","suflén","_","_","_","_","_","_","http://liita.it/data/id/lemma/992488",,,,,,
"fisionomia","NOUN","fizonomia","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992524",,,,,,
"fisionomista","NOUN","fizonomista","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992527",,,,,,
"fissare","VERB","presiär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992544",,,,,,
"fissare","VERB","fisär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992544",,,,,,
"fissarsi","VERB","fisärs","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992545",,,,,,
"fissazione","NOUN","fisasión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992546",,,,,,
"fitta","NOUN","fìssa","frìssa","fìtta","_","_","_","_","_","_","http://liita.it/data/id/lemma/992607",,,,,,
"fiume","NOUN","fiùmm","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992627",,,,,,
"fiutare","VERB","odorär","nazär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992629",,,,,,
"fiutata","NOUN","tabacäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992631",,,,,,
"fiutata","NOUN","nazäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992631",,,,,,
"fiutatina","NOUN","nazaden’na","_","_","_","_","_","_","_","_",,,,,,,
"fiutatore","NOUN","tabacón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1044899",,,,,,
"flaccido","ADJ","zmolètogh","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992645",,,,,,
"flagello","NOUN","flagél","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992655",,,,,,
"flatulenza","NOUN","flatulénsa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992689",,,,,,
"flemma","NOUN","flèmma","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992716",,,,,,
"flemmatico","ADJ","flemátich","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992718",,,,,,
"floscio","ADJ","flòs","flàp","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992773",,,,,,
"focaccia","NOUN","chisôla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992850",,,,,,
"focaccia","NOUN","fugasa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992850",,,,,,
"focolare","NOUN","foglär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992867",,,,,,
"focoso","ADJ","foghént","fogôz","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992877",,,,,,
"fodera","NOUN","fodra","fodrètta","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992878",,,,,,
"foderare","VERB","fodrär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992880",,,,,,
"foglia","NOUN","fôja","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992892",,,,,,
"fogliaccio","NOUN","fojas","_","_","_","_","_","_","_","_",,,,,,,
"fogliame","NOUN","fôjam","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992894",,,,,,
"foglietto","NOUN","fojén","fojètt","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092337",,,,,,
"foglio","NOUN","fôj","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992903",,,,,,
"folaga","NOUN","fòlga","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992921",,,,,,
"folletto","NOUN","foltén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992954",,,,,,
"folletto","NOUN","folètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992954",,,,,,
"folto","ADJ","fólt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992964",,,,,,
"fondale","NOUN","fondäl","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992984",,,,,,
"fondare","VERB","fondär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992994",,,,,,
"fondatore","NOUN","fondatôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/992999",,,,,,
"fondello","NOUN","fondél","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056453",,,,,,
"fondere","VERB","fòndor","zitär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993003",,,,,,
"fondo","NOUN","sculä","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056458",,,,,,
"fondo","NOUN","fônd","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056458",,,,,,
"foraggiare","VERB","foragiär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993082",,,,,,
"foraggio","NOUN","forag’","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993085",,,,,,
"forare","VERB","forär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993091",,,,,,
"foratura","NOUN","foräda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993100",,,,,,
"forbice","NOUN","forbza","sizôra","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092382",,,,,,
"forbiciata","NOUN","forbzäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092383",,,,,,
"forbicina","NOUN","forbzén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056469",,,,,,
"forca","NOUN","forca","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993107",,,,,,
"forcella","NOUN","forséla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993114",,,,,,
"forchetta","NOUN","forchètta","forsén’na","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092385",,,,,,
"forchettata","NOUN","forsinäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993116",,,,,,
"forchettone","NOUN","forsinón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056471",,,,,,
"forconcino","NOUN","forcadéla","_","_","_","_","_","_","_","_",,,,,,,
"forcone","NOUN","forcäl","forcón","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993125",,,,,,
"forestiero","NOUN","forestér","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993138",,,,,,
"forma","NOUN","formaja","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092395",,,,,,
"formaggino","NOUN","formajén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993162",,,,,,
"formaggio","NOUN","grana","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993163",,,,,,
"spargere","VERB","informajär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1041118",,,,,,
"formaggio","NOUN","formaj","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993163",,,,,,
"formare","VERB","formär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993177",,,,,,
"formella","NOUN","forméla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993188",,,,,,
"formicolare","VERB","formigär","informigär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993202",,,,,,
"formicolio","NOUN","formigamént","indormidura","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993203",,,,,,
"formicone","NOUN","formigón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056479",,,,,,
"formidabile","ADJ","formidàbil","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993205",,,,,,
"fornace","NOUN","fornäza","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993220",,,,,,
"fornacina","NOUN","fornazéla","_","_","_","_","_","_","_","_",,,,,,,
"fornaio","NOUN","fornär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993223",,,,,,
"fornello","NOUN","fogón","fornél","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993226",,,,,,
"fornire","VERB","fornir","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993235",,,,,,
"forno","NOUN","fóron","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993241",,,,,,
"forse","ADV","fors","forsi","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092403",,,,,,
"forte","ADJ","fort","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993252",,,,,,
"fortezza","NOUN","fortèssa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092407",,,,,,
"fortificare","VERB","fortificär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993260",,,,,,
"fortificazione","NOUN","fortificasión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993264",,,,,,
"fortino","NOUN","fortén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993267",,,,,,
"fortuna","NOUN","fortón’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993272",,,,,,
"fortunato","ADJ","buzón","fortunä","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993275",,,,,,
"fortunello","NOUN","fortunén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993277",,,,,,
"foruncolo","NOUN","bruflén","brùffla","bognón","_","_","_","_","_","_","http://liita.it/data/id/lemma/993280",,,,,,
"forunculo","NOUN","bognonsètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993280",,,,,,
"forza","NOUN","forsa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993284",,,,,,
"forzare","VERB","sforsär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993288",,,,,,
"forzuto","ADJ","forsú","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993297",,,,,,
"foschia","NOUN","nebiolén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993300",,,,,,
"fossatello","NOUN","trasvàgn","_","_","_","_","_","_","_","_",,,,,,,
"fosse","NOUN","bòdri","_","_","_","_","_","_","_","_",,,,,,,
"fossetta","NOUN","fosètta","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056490",,,,,,
"fossetto","NOUN","fosètt","_","_","_","_","_","_","_","_",,,,,,,
"fosso","NOUN","cunéla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993342",,,,,,
"fosso","NOUN","traversàgn","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993342",,,,,,
"fosso","NOUN","fòs","fòsa","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993342",,,,,,
"fra poco","ADV","’dsadésa","_","_","_","_","_","_","_","_",,,,,,,
"fracasso","NOUN","rabadàn","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993517",,,,,,
"fracasso","NOUN","fracas","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993517",,,,,,
"fracassone","NOUN","fracasón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993518",,,,,,
"fragile","ADJ","fràgil","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993529",,,,,,
"fragolone","NOUN","magiòster","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056512",,,,,,
"frammento","NOUN","scarfùlla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993566",,,,,,
"franchezza","NOUN","franchèssa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993604",,,,,,
"Francia","PROPN","Fransa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993610",,,,,,
"frangia","NOUN","franza","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993637",,,,,,
"frasca","NOUN","frasca","rama","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993676",,,,,,
"fraschetta","NOUN","fraschètta","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056527",,,,,,
"frassino","NOUN","fràsen","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993692",,,,,,
"frate","NOUN","sercón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993710",,,,,,
"frate","NOUN","frä","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993710",,,,,,
"fratellastro","NOUN","fradlas","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993713",,,,,,
"fratellino","NOUN","fradlén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056532",,,,,,
"fratello","NOUN","fradél","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993715",,,,,,
"frati","NOUN","pavlòt","_","_","_","_","_","_","_","_",,,,,,,
"fraticello","NOUN","fratén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056534",,,,,,
"frattaglie","NOUN","ragaji","vintràj","_","_","_","_","_","_","_",,,,,,,
"frecciata","NOUN","frisäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993766",,,,,,
"freddo","NOUN","gianích","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993774",,,,,,
"freddo","NOUN","frèdd","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993774",,,,,,
"fregare","VERB","struzär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993783",,,,,,
"fregare","VERB","fergär","fargär","fòttor","_","_","_","_","_","_","http://liita.it/data/id/lemma/993783",,,,,,
"fregarsene","VERB","infargärson","incagonärson","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993785",,,,,,
"fregatura","NOUN","fregäda","fargäda","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993790",,,,,,
"fregio","NOUN","frìz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993794",,,,,,
"fregola","NOUN","frega","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993801",,,,,,
"fremere","VERB","frèmmor","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993807",,,,,,
"frenare","VERB","frenär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993812",,,,,,
"frenesia","NOUN","frenezìa","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993818",,,,,,
"fresco","NOUN","frèsch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056553",,,,,,
"frescolino","NOUN","freschén","freschètt","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056556",,,,,,
"frescume","NOUN","frescùmm","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993846",,,,,,
"friggere","VERB","frìzzor","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993866",,,,,,
"fringuello","NOUN","vidarén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993895",,,,,,
"fringuello","NOUN","fràngol","fringuél","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993895",,,,,,
"frittata","NOUN","fritäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993912",,,,,,
"frittella","NOUN","zgonfiètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993913",,,,,,
"frittella","NOUN","fritéla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993913",,,,,,
"fritto","ADJ","frìtt","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/25257",,,,,,
"frittura","NOUN","fritura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993917",,,,,,
"frivolo","ADJ","servlén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993922",,,,,,
"frizzante","ADJ","frisant","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/25259",,,,,,
"frizzare","VERB","frisär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993927",,,,,,
"frizzo","NOUN","frìss","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993929",,,,,,
"frode","NOUN","sfrúz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993937",,,,,,
"frollatura","NOUN","frolidura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993944",,,,,,
"frondoso","ADJ","fojú","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092475",,,,,,
"frontespizio","NOUN","frontespìssi","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993971",,,,,,
"frontiera","NOUN","frontéra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993972",,,,,,
"frottola","NOUN","bàggola","buzra","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993983",,,,,,
"frugamento","NOUN","zrugasament","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993989",,,,,,
"frugare","VERB","zrugasär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993990",,,,,,
"frugare","VERB","bardugär","scarugär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993990",,,,,,
"frullare","VERB","furlär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994010",,,,,,
"frullino","NOUN","zbatdôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994013",,,,,,
"frumento","NOUN","formént","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994021",,,,,,
"frusone","NOUN","frizón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/993981",,,,,,
"frusta","NOUN","frústa","scúria","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994030",,,,,,
"furfantello","NOUN","margotén","_","_","_","_","_","_","_","_",,,,,,,
"frustata","NOUN","zvisciäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994038",,,,,,
"frustata","NOUN","frustäda","scuriäda","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994038",,,,,,
"frustino","NOUN","zvìscia","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056577",,,,,,
"frustino","NOUN","foètt","frustén","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056577",,,,,,
"frusto","NOUN","frúst","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994043",,,,,,
"fruttiera","NOUN","frutéra","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994064",,,,,,
"fruttivendolo","NOUN","frutarôl","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994069",,,,,,
"frutto","NOUN","frût","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994070",,,,,,
"fucilare","VERB","fuzilär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994093",,,,,,
"fucilata","NOUN","fuziläda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092490",,,,,,
"fucile","NOUN","s’ciopètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994096",,,,,,
"fucile","NOUN","fuzil","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994096",,,,,,
"fucina","NOUN","fuzén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092491",,,,,,
"fuga","NOUN","fuga","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994113",,,,,,
"fuggire","VERB","tabacär","zbignär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994124",,,,,,
"fuggitivo","NOUN","fugitiv","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092498",,,,,,
"fuliggine","NOUN","calézna","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056594",,,,,,
"fulminare","VERB","fulminär","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994143",,,,,,
"fulmine","NOUN","fùllmin","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994149",,,,,,
"fumare","VERB","fumär","pipär","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994163",,,,,,
"fumata","NOUN","pipadén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994171",,,,,,
"fumata","NOUN","pipäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994171",,,,,,
"fumata","NOUN","fumäda","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994171",,,,,,
"fumatina","NOUN","fumadén’na","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056600",,,,,,
"fumatore","NOUN","pipadôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994172",,,,,,
"fumatore","NOUN","fumadór","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994172",,,,,,
"fumo","NOUN","cotùss","fùmm","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994193",,,,,,
"fune","NOUN","sóga","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994208",,,,,,
"fune","NOUN","soghètt","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994208",,,,,,
"fune","NOUN","tiréla","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994208",,,,,,
"funerale","NOUN","funeräl","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994211",,,,,,
"funghetto","NOUN","fonzén","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056607",,,,,,
"prataiolo","NOUN","pardarôl","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1022851",,,,,,
"fungo","NOUN","fônz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092504",,,,,,
"funzione","NOUN","fonsión","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092507",,,,,,
"fuocherello","NOUN","foghén","_","_","_","_","_","_","_","_",,,,,,,
"fuoco","NOUN","fôgh","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994250",,,,,,
"fuori","ADV","fôra","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/48519",,,,,,
"furbacchione","NOUN","birba","dritón","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994285",,,,,,
"furbastro","NOUN","facojón","fintón","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994286",,,,,,
"furbizia","NOUN","furbária","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994289",,,,,,
"furbo","ADJ","furb","zgambä","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994290",,,,,,
"furbone","NOUN","furbón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056626",,,,,,
"furfante","NOUN","tajacantón","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994297",,,,,,
"furfantello","NOUN","margotén","_","_","_","_","_","_","_","_",,,,,,,
"furia","NOUN","fùrria","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994307",,,,,,
"furioso","ADJ","furiôz","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994313",,,,,,
"furore","NOUN","furôr","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994318",,,,,,
"furto","NOUN","furt","gatäda","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994322",,,,,,
"fuscello","NOUN","spròch","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994330",,,,,,
"fusione","NOUN","fondura","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056634",,,,,,
"fuso","ADJ","fû","_","_","_","_","_","_","_","_","http://liita.it/data/id/hypolemma/25291",,,,,,
"fustigata","ADJ","sropasäda","_","_","_","_","_","_","_","_",,,,,,,
"fusto","NOUN","canavûcc’","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092524",,,,,,
"fusto","NOUN","fust","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092524",,,,,,
"gabbia","NOUN","gàbia","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1092531",,,,,,
"gabbietta","NOUN","gabiètta","gabiôla","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/1056643",,,,,,
"gagliardo","ADJ","gajärd","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994448",,,,,,
"galante","ADJ","galant","_","_","_","_","_","_","_","_","http://liita.it/data/id/lemma/994470",,,,,,
