ID	POS	ENTRATA	NUMERO	GENERE	traduzione1	traduzione2	traduzione3	traduzione4	traduzione5	traduzione6	traduzione7	traduzione8	traduzione9	variant1	variant2	variant3	variant4	variant5	variant6	variant7	variant8	variant9	variant10	variant11	variant12	variant13	variant14	variant15	variant16
1643	ADV	ammanu ammanu			subito	all'istante	immediatamente							a manu a manu															
1644	VERB	ammaraggiari			soffrire il mal di mare																								
1645	VERB	ammaragnari			abbuiarsi	oscurarsi																							
1646	VERB	ammarazzari			ingombrare									mmarazzari															
1647	VERB	ammargiari			impaludare																								
1648	VERB	ammarrari			ostruirsi	arginare								mbarrari	mmarrari														
1649	VERB	ammarruggiari			mettere il manico alla zappa																								
1650	VERB	ammarrunari			sbagliare																								
1651	VERB	ammartucari			ridurre a guisa di morto	indebolire	acciaccare																						
1652	VERB	ammascari			fare il bravaccio	fare lo spavaldo																							
1653	ADJ	ammascariddatu	s	m	si dice del grano colpito dal male detto mascaredda																								
1654	VERB	ammaschiri			avvizzire									ammascàrisi															
1655	VERB	ammastrari			ammaestrare	addestrare	rimondare gli alberi	sfoltire																					
1656	VERB	ammataffari			assodare la terra									mataffari															
1657	ADJ	ammattariddatu	s	m	robusto																								
1658	VERB	ammattiri			indebolirsi	affievolirsi																							
1659	VERB	ammattumari			assodare con un miscuglio di ghiaia	calce e acqua																							
1660	ADV	ammàtula			invano	inutilmente								a mmàtula	a màtula	mmàtula	màtula	ambàtula											
1661	VERB	ammazzacanari			intonacare con calce grossolana e rottami di pietra																								
1662	VERB	ammazzarari			mazzerare																								
1663	ADJ	ammazzaratu	s	m	non fermentato																								
1664	VERB	ammazzari			ammazzare	essere tra l'acerbo e il maturo	invaiolarsi dell'uva																						
1665	VERB	ammicciari			pigliare la mira																								
1666	VERB	ammicinari			putrefarsi																								
1667	VERB	ammiddari			convenire	congiurare								mmiddare|mmiddari															
1668	VERB	ammiari			inviare									mmiari	nviari														
1669	VERB	ammilari			essere infestati dalla formica																								
1670	VERB	ammilintari			millantare	millantarsi																							
1671	ADJ	ammiluccatu	s	m	guasto																								
1672	VERB	amminchialiri			istupidire																								
1673	VERB	amminnaliri			istupidire																								
1674	ADJ	amminnulatu	s	m	sgroppato	detto di cavallo con la groppa guasta																							
1675	VERB	ammintari			inventare									nvintari	mmintari														
1676	VERB	ammiritari			remunerare																								
1677	VERB	ammiscari			mescolare	mischiare	mescere							miscari	mmiscari														
1678	VERB	ammizziari			dimezzare																								
1679	VERB	ammizzigghiari			vezzeggiare									mbizzigghiari	mmizzigghiari	ficcichiari													
1680	NOUN	ammogghiu	s	m	invoglio	involto								mmogghiu	nvogghiu														
1681	NOUN	ammozzi	p	m	raggi della ruota									jammozzi	iammozzi	gammozzi													
1682	INTJ	ammù			dammi	da' qua								muscia	mù	mù ccà													
1683	VERB	ammuccari			imboccare																								
1684	VERB	ammucciari			nascondere	piattare	celare							mmucciari															
1685	VERB	ammuddiscari			avvizzire																								
1686	VERB	ammudurriri			ripugnare	aborrire	odiare	detestare																					
1687	VERB	ammuffulari			ammanettare									mmuffulari															
1688	VERB	ammugghiari			invogliare	ravvolgere																							
1689	VERB	ammugghiulari			avvolgere alla peggio									ammugghiuliari															
1690	VERB	ammugghiuliari			avvolgere alla peggio									ammugghiulari															
1691	VERB	ammuinari			crucciarsi	imbronciarsi								ammuinàrisi															
1692	VERB	ammulari			affilare	aguzzare																							
1693	VERB	ammunitari			accarezzare	cercare d'indurre altri al proprio volere	trattare qualcuno con grande dolcezza e con lusinga																						
1694	VERB	ammuntuari			parlare di uno	mentovare								ammintuari	ammintuvari	ammuntuvari	muntuvari	mintuvari	muntuari	mintuari									
1695	VERB	ammuntunari			ammassare	ammonticchiare																							
1696	VERB	ammuntuvari			parlare di uno	mentovare								ammintuari	ammintuvari	ammuntuari	muntuvari	mintuvari	muntuari	mintuari									
1697	VERB	ammunziddari			ammonticchiare	ammucchiare	accumulare																						
1698	VERB	ammuragghiari			ammassare sassi																								
1699	VERB	ammurazzari			buttare giù	fracassare																							
1700	VERB	ammurcari			restare con la bocca aperta	istupidire																							
1701	VERB	ammurgari			ungere con morchia																								
1702	VERB	ammurracciari			spalmare d'uovo battuto un cibo e friggerlo	indorare																							
1703	VERB	ammurrari			intasare	arenarsi	ostruirsi	non fluire più																					
1704	VERB	ammursagghiari			incatenare una fabbrica																								
1705	VERB	ammursari			far colazione																								
1706	ADJ	ammursatu	s	m	abboccato																								
1707	ADJ	ammursiddatu	s	m	magro	asciutto																							
1708	VERB	ammusciari			diventare floscio																								
1709	VERB	ammusciddari			chiudere l'entrata ai tonni con la rete e con le corde delle tonnare	abbondare								mmusciddari	mbusciddari														
1710	VERB	ammusciulari			imbussolare									mbusciulari															
1711	VERB	ammussari			crucciarsi	ingrugnare																							
1712	VERB	ammusturari			arricchire con misture ed aromi	aromatizzare	dar sapore	alterare vivande																					
1713	ADJ	ammusuluccutu	s	m	mezzo babbeo																								
1714	VERB	ammuttari			spingere avanti																								
1715	VERB	ammuturrari			assopirsi																								
1716	NOUN	amoddei	s	m	frassino									middeu	muddeu	muddìa	muddìu	amiddeu											
1717	NOUN	ampara			protezione																								
1718	NOUN	amuredda			mora																								
1719	ADJ	amusu	s	m	acerbo																								
1720	NOUN	anarazzi	p		fichidindia									anarezzi															
1721	NOUN	anarezzi	p		fichidindia									anarazzi															
1722	NOUN	ancia			ansia	ansietà	angoscia	ambascia						angia	ansia	anzia													
1723	NOUN	ancieddu	s	m	uccello									aceddu	acieddu	auceddu	oceddu												
1724	NOUN	ancinagghia	s	f	anguinaglia	anguinaia	inguine							ncinagghia	nginagghia														
1725	NOUN	anciova		f	acciuga																								
1726	VERB	ancugnari			accostare	accostarsi								ncugnari															
1727	NOUN	ancùina	s	f	incudine									ancùnia	ncùnia	ncùina													
1728	NOUN	ancùnia	s	f	incudine									ancùina	ncùnia	ncùina													
1729	ADJ	ancunu	s	m	alcuno									arcunu	accunu	alcunu	alicunu												
1730	NOUN	andriè	s		abito femminile con coda	sorta di veste da donna																							
1731	NOUN	aneddu	s	m	anello									oneddu															
1732	NOUN	anfa			afa																								
1733	VERB	anfari			abbronzare																								
1734	NOUN	anga	s	f	dente molare									ganga	ianga	janga													
1735	NOUN	angalarruni	s	m	scacciapensieri									ngannalarruni	nnangalarruni	gangalarruni													
1736	VERB	angaliari			adescare									anguliari	ngaliari	nguliari													
1737	ADJ	angratu	s	m	ingrato	fermo								ngratu	ingratu														
1738	NOUN	angru	s	m	rupe																								
1739	VERB	anguliari			attirare a sé con regali o altro	adescare								angaliari	ngaliari	nguliari													
1740	NOUN	angunìa			agonia									agunìa															
1741	NOUN	anìmulu	s	m	arcolaio									anìmmulu	nìmulu	nièmmula													
1742	NOUN	annaca			collana di preziosi									ciannaca	cannaca	cinnaca													
1743	VERB	annacari			cullare	sbrigarsi																							
1744	VERB	annadarari			verificare	controllare i pesi	riportare pesi e misure al giusto grado																						
1745	NOUN	annaloru	s	m	colui che si impegna per un anno																								
1746	NOUN	annana			andana																								
1747	VERB	annappari			diventare grinzoso																								
1748	VERB	annarbari			albeggiare																								
1749	VERB	annarcari			inarcare	impennare																							
1750	VERB	annari			andare																								
1751	VERB	annarmaliri			imbestialire	sbalordire																							
1752	VERB	annarvuliari			inalberarsi																								
1753	VERB	annarziddari			inalberarsi	recalcitrare								ngarziddari	narziddari														
1754	VERB	annasari			prendere la mira																								
1755	VERB	annascari			adescare									anniscari															
1756	ADJ	annascatu	s	m	storto																								
1757	VERB	annasciaudari			impastoiare																								
1758	VERB	annastracari			terrazzare																								
1759	NOUN	ànnatu	s	m	andito									ànnitu															
1760	VERB	annauliari			dare l'unzione degli infermi																								
1761	VERB	annaurari			indorare	dorare																							
1762	VERB	annausari			innalzare																								
1763	ADJ	annavaratu	s	m	vacillante									annavarutu															
1764	ADV	annenti			almeno									a nenti															
1765	NOUN	annèttitu	s	m	pulitura																								
1766	VERB	anniccari			resistere	essere contumace																							
1767	VERB	annicchiari			imprimere durevolmente nella memoria																								
1768	VERB	annigricari			annerire									anniricari	nigricari	niricari	anniuricari												
1769	VERB	anniminari			indovinare									nniminari	addiminari	nnuminari													
1770	VERB	anningari			rivolgersi malvolentieri a uno per chiedergli qualcosa	rivolgersi a qualcuno per un favore	importunare							ndingari	nningari	addingari													
1771	VERB	anninnari			far girare una trottola																								
1772	VERB	anninnuliari			cantare la ninna nanna																								
1773	ADV	annintra			addentro nell'interno	a fondo	dentro							nnintra															
1774	VERB	anniricari			annerire	annerirsi								annigricari	nigricari	niricari	anniuricari												
1775	VERB	annirvari			stare ritto																								
1776	VERB	anniscari			adescare									annascari															
1777	NOUN	anniscu	s	m	esca																								
1778	NOUN	ànnitu	s	m	andito									ànnatu															
1779	VERB	anniuricari			annerire	annerirsi								annigricari	nigricari	niricari	anniricari												
1780	NOUN	annivinagghia	s	f	indovinello									nnivinagghia	ndivinagghia														
1781	ADJ	annòticu	s	m	di un anno																								
1782	VERB	annugghiari			seminare senza fare la maggese																								
1783	ADV	annunca			dunque	infatti	altrimenti																						
1784	VERB	annurari			durare									durari															
1785	VERB	annurgiari			dare l'orzo agli animali																								
1786	VERB	annurvari			acciecare									annurbari															
1787	NOUN	anta	s	f	stipite di porta									paranta															
1788	NOUN	antàcitu	s	m	magnesia									antiàcitu															
1789	ADV	anticchia			un poco									andicchia	nticchia	ndicchia													
1790	ADJ	antru	s	m	altro									àutru	àvutru	atru	otru												
1791	NOUN	antu	s	m	luogo dove i contadini lavorano assieme o conversano																								
1792	ADV	antura			poco fa									ant'ura	andura	and'ura													
1793	ADJ	anùtili	s	m	inutile									nùtili															
1794	NOUN	anviluppu	s	m	inviluppo									nviluppu															
1795	ADJ	àpata	s	m	ebete									àpatu															
1796	ADJ	àpatu	s	m	ebete									àpata															
1797	NOUN	apollinari	s	m	mandragola																								
1798	ADJ	appacchianatu	s	m	grassoccio																								
1799	VERB	appagnari			adombrarsi																								
1800	NOUN	appagnu	s	m	adombramento																								
1801	ADJ	appagnusu	s	m	ombroso	pauroso																							
1802	VERB	appaidari			digerire																								
1803	VERB	appalurari			obbligarsi a parola									mpalurari															
1804	VERB	apparagghiari			uguagliare																								
1805	VERB	apparanzari			uguagliare																								
1806	VERB	apparruccianari			fare clienti																								
1807	VERB	appatanciari			afferrare									attapanciari															
1808	VERB	appattari			pareggiare	confrontare																							
1809	NOUN	appeddu	s	m	suono di campane a funerale	appello																							
1810	VERB	appicciari			accendere il fuoco	appicciare il fuoco																							
1811	VERB	appiccicari			accendere il fuoco	appicciare il fuoco																							
1812	NOUN	appiccicugghia	s	f	appicco	pretesto	occasione																						
1813	VERB	appiculari			penzolare																								
1814	VERB	appiddari			fare l'appello																								
1815	VERB	appidicari			camminare con attenzione in luoghi disagevoli									pidicari															
1816	VERB	appigghiari			attecchire																								
1817	VERB	appilari			pelare	strappare	detto del grano quando è preso dalla «mascaredda»	bruciare	ardere	scottare	soffrire la sete			ppilari															
1818	VERB	appinnicari			appisolarsi									mpinnichiari															
1819	ADV	appinninu			giù a valle									a ppinninu	a pinninu														
1820	VERB	appinnuliari			penzolarsi	penzolare								pinnuliari															
1821	ADP	nnâ	s	f	nella									nn'â	nn'a	nna la	nni la	nni a	nna a										
1822	VERB	appirsunari			arrivare al totale sviluppo della persona																								
1823	VERB	appittari			stare a fronte									mpittari															
1824	VERB	appittimari			diventare importuno																								
1825	ADJ	appittutu	s	m	pettoruto																								
1826	NOUN	appiu	s	m	mela appiola	appia	melo appiolo							lappiu	alappiu	lappu	alappu												
1827	VERB	appiuncari			essere soggetto facilmente a infermità	essere cagionevole																							
1828	VERB	appizzari			appendere																								
1829	VERB	appodiri			diventare stantio	diventare guasto	maturare	fermentare						apporiri	padiri														
1830	VERB	apporiri			diventare stantio	diventare guasto	maturare	fermentare						appodiri	padiri														
1831	VERB	apprittari			stringere	pressare	infastidire																						
1832	VERB	apprudiri			applaudire	acconsentire								applaudiri															
1833	VERB	appruiari			giungere	arrivare	riuscire	pervenire	far prò					apprudari	appruari														
1834	VERB	appruvicciari			avvantaggiarsi	approfittare																							
1835	ADP	nnî	p	m	nei	negli								nn'ê	nn'e	nnê	nn'î	nn'i	nna li	nni li	nna i	nni i							
1836	ADP	nnî	p	f	nelle									nn'ê	nn'e	nnê	nn'î	nn'i	nna li	nni li	nna i	nni i							
1837	VERB	appruvinzari			bruciare	inaridire																							
1838	VERB	appuddari			incurvarsi																								
1839	VERB	appunzunari			avvelenare																								
1840	VERB	appurari			indagare	cercare di sapere																							
1841	VERB	appurpari			ghermire																								
1842	VERB	appusintari			alloggiare									posentari	pusintari														
1843	VERB	appuzzari			immergere																								
1844	VERB	appuzzunari			appuzzare																								
1845	NOUN	aprocchiu	s	m	ceceprete	cardo stellato								apruacchiu															
1846	ADJ	àpulu	s	m	semplice	immediato																							
1847	ADJ	àpulu	s	m	dal guscio molle									pàpulu	pàparu														
1848	NOUN	arabli	s	m	specie di acero									arabbli															
1849	NOUN	arancìtula	s	f	riccio di mare									boganzìtula	marancìtula														
1850	NOUN	aracìa			albagia	alterigia	altezzosità							arbacìa	avracìa														
1851	NOUN	aràsimu	s	m	fannullone	chi è pigro																							
1852	NOUN	àrbiru	s	m	albero									àrburu	àrvuru	àrbulu	àrvulu	àrbilu											
1853	VERB	arbitriari			lavorare o far lavorare																								
1854	NOUN	arbitriu	s	m	arbitrio																								
1855	NOUN	àrbula	s	f	il cerchio di legno attorno al vaglio									gàrbula	garba														
1856	ADV	nna			in	dentro								nda	nta														
1857	NOUN	arburi	s	m	albore	luminosità	chiarore	alba						alburi	abburi														
1858	NOUN	nnàccara	s	f	filza di globetti di cristallo																								
1859	NOUN	arcella	s	f	tellina									arsella															
1860	VERB	nnacchiari			canzonare																								
1861	NOUN	arceri	s	m	arciere																								
1862	NOUN	nnacchiu	s	m	conno																								
1863	VERB	archiari			disegnare	costruire ad arco	fare archi																						
1864	NOUN	nnangalarruni	s	m	scacciapensieri									ngannalarruni	angalarruni	gangalarruni													
1865	NOUN	arcirotta			beccaccino																								
1866	NOUN	nnannata	s	f	latterino									nunnata	nannata	nnunnata													
1867	VERB	arciunari			affaccendarsi per trovare una sistemazione																								
1868	NOUN	nnanta			due grappoli pendenti dallo stesso tralcio e staccati dalla vite																								
1869	NOUN	arcònaci			acanto									alcàuna															
1870	NOUN	nnappa	s	f	striscia di stoffa dei pantaloni con la bottoniera	rimboccatura								nappa															
1871	NOUN	ardichella	s	f	membrana della parte superiore dell'addome	omento																							
1872	ADV	nnarreri			indietro									nnarrieri	ndarreri	ndarrieri													
1873	NOUN	ardìcula	s	f	ortica									furdìcula	firricu	furricu													
1874	ADV	nnarrieri			indietro									nnarreri	ndarreri	ndarrieri													
1875	VERB	ardiculiari			prudere																								
1876	VERB	nnartari			vantarsi																								
1877	NOUN	ardùbbulu	s	m	calabrone									gardùbbulu	cardùbbulu														
1878	NOUN	arèddara	s	f	edera									arrèddira	èdira	ètira	èddira	èddara	lèddira	lèllira									
1879	VERB	nnautari			innalzare									annautari															
1880	NOUN	aremi	s	m	denaro									oremi															
1881	NOUN	nnecca	s	f	scusa	rancore																							
1882	NOUN	aretta	s	f	airone minore																								
1883	NOUN	nnenna	s	f	poppa									nennè	nenna														
1884	NOUN	arfa	s	f	sorta di pianta annuale filiforme	propria di terreni aridi	sparto							garfa															
1885	ADV	nni			ne									ndi															
1886	ADV	nni			in	dentro								ndi	nti														
1887	NOUN	argagnu	s	m	contenitore di coccio	vaso da notte																							
1888	NOUN	nnicca	s	f	adescamento																								
1889	NOUN	argasìa	s	f	concimazione di campi	seminagione	maggese																						
1890	NOUN	argia	s	f	gorga	strozza	gorgia	gavigna						gargia	orgia	gorgia													
1891	NOUN	arìanu	s	m	origano									arìganu	rìganu	rìanu	rìenu												
1892	ADV	nnìcchiti nnìcchiti			no davvero																								
1893	VERB	ariari			guardare attorno																								
1894	ADJ	nnìcili	s	m	gracile	fiacco								nìcili	nìcilu	nìscili													
1895	NOUN	aricchia	s	f	orecchia									auricchia	oricchia	gricchia	ricchia												
1896	NOUN	nnimma	s	m	enigma									nimma	enimma	enìgghima													
1897	NOUN	aricciola	s	f	leccia									alicciola															
1898	VERB	nningari			rivolgersi malvolentieri a uno per chiedergli qualcosa	rivolgersi a qualcuno per un favore	importunare							ndingari	addingari	anningari													
1899	NOUN	arìddaru	s	m	seme	vinacciolo	granello							arìddiru															
1900	NOUN	nninnì	s	m	denaro																								
1901	NOUN	arieri	s	m	erede									reda	areti	redi	aredi	rera	eredi										
1902	ADV	nnintra			dentro									annintra															
1903	NOUN	arippu	s	m	granello	seme di taluni frutti	testicolo del gallo							ariddu															
1904	ADV	nnissu-nnissu			vicino																								
1905	NOUN	ariu	s	m	aria	aere								aria															
1906	NOUN	nnivinagghia	s	f	indovinello									annivinagghia	ndivinagghia														
1907	NOUN	arma			arma																								
1908	NOUN	arma			anima	alma																							
1909	ADJ	nnìzzicu	s	m	che sta nel mezzo																								
1910	NOUN	armacchìa		f	muro a secco	muretto																							
1911	ADP	nnô	s	m	nel	nello								nn'û	nn'u	nnû	nn'ô	nn'o	nna lu	nni lu	nna u	nni u							
1912	NOUN	armacìa		f	muro a secco	muretto																							
1913	NOUN	nnocca	s	f	escrescenza carnosa sul capo del tacchino	cruccio	fiocco																						
1914	NOUN	armalu	s	m	animale	bestia								armali															
1915	ADP	nnû	s	m	nel	nello								nn'û	nn'u	nnô	nn'ô	nn'o	nna lu	nni lu	nna u	nni u							
1916	NOUN	armigghi			arnesi	utensili								armiggi															
1917	NOUN	nnuggia			interiora									nugghi															
1918	NOUN	armigghia	s	f	busto																								
1919	NOUN	nnulicenzia	s	f	indulgenza									ndulicenzia	ndulicenza	nnulicenza													
1920	NOUN	armiggi			arnesi	utensili								armigghi															
1921	ADJ	nnurmusu	s	m	affettato	ricercato	artificioso							nurmusu															
1922	NOUN	arminiu	s	m	oggetto di grande lucentezza																								
1923	NOUN	nòlitu	s	m	capriccio	seccatura																							
1924	NOUN	armùina	s	f	frutto del corbezzolo																								
1925	ADV	noni			no									no															
1926	NOUN	notanna	s	f	nota									nutanna	notannu														
1927	NOUN	aròmulu	s	m	azzeruolo montano																								
1928	NOUN	notannu	s	m	nota									nutanna	notanna														
1929	NOUN	arpa			arpa	uccello rapace	uccello di rapina																						
1930	NOUN	nòtula	s	f	piccola nota																								
1931	NOUN	arpagghiu	s	m	rampone	arpagone																							
1932	NOUN	nòzzulu	s	m	nocciolo dell'oliva									nuòzzulu															
1933	VERB	arpasciari			bruciacchiare																								
1934	ADV	nqua			ma certamente									ngua	nca	nga	inca												
1935	NOUN	arpazza			avvoltoio																								
1936	VERB	nquacinari			mettere la calce									ncaucinari															
1937	NOUN	arpegliu	s	m	gheppio																								
1938	VERB	nquinquiari			gorgheggiare																								
1939	NOUN	arperi	s	m	arpista																								
1940	NOUN	nquinquìu	s	m	gorgheggio																								
1941	NOUN	arpuni	s	m	arpa grande	feto non ancora ben formato																							
1942	VERB	nsaiari			provare	provarsi un abito nuovo								nzaiari	nsajari	nzajari													
1943	ADJ	nsaiddatu	s	m	che sta bene alla persona									nzaiddatu															
1944	VERB	arracchiari			non svilupparsi bene																								
1945	ADJ	nsaimatu	s	m	pieno di sugna	unto								nzaimatu															
1946	INTJ	arraccicà			incitamento alle bestie da soma									arricciccà	ariccè														
1947	VERB	nsalaniri			stordire	confondere	disorientare							nzalaniri	nzallaniri														
1948	VERB	arradari			diradare									arraduzzari															
1949	VERB	arraduzzari			diradare	allontanare								arradari															
1950	VERB	nsanguliari			bestemmiare									nzanguliari															
1951	VERB	arraggiari			arrabbiarsi	soffrire fortemente																							
1952	VERB	nsanguniari			sanguinare									nzancuniari	nzanguniari	nsancuniari													
1953	VERB	arraiari			irrigidirsi dal freddo																								
1954	ADV	nsanu			indivisamente									n sanu															
1955	VERB	arramari			prendere il colore del rame																								
1956	VERB	nsardari			mettersi sotto le lenzuola	coprirsi								nzardari															
1957	VERB	arramazzari			sbattere malamente a terra	buttare								arrimazzari															
1958	VERB	nsarmunari			legare									nzarmunari															
1959	VERB	arrammari			arrembare	abbordare								arrimbari															
1960	VERB	nsavacciari			dare la marezzatura									nzavacciari															
1961	VERB	arrampari			uscir di casa per una meta non precisata																								
1962	VERB	nsavaniri			avvolgere un cadavere nel lenzuolo									nsavanari	nzavanari	nzavaniri													
1963	VERB	arrancari			camminare con fatica	ma in fretta	arrancare																						
1964	VERB	arranciari			soffriggere	dare una prima cottura								aggranciari	ngranciari														
1965	ADV	nsèmmula			insieme									nzèmmula	nzièmmula	nsièmmula													
1966	VERB	arranfari			afferrare									aggrampari	aggranfari														
1967	VERB	nsiccumari			seccare	risecchire	imbozzacchire							nziccumari															
1968	VERB	arrappari			prendere con violenza									arraffari															
1969	VERB	nsiddicari			stimolare									nziddicari															
1970	ADV	arrapuni			con ingordigia									a rapuni															
1971	VERB	nsimmulari			accoppiare	accomunare								nzimmulari															
1972	VERB	arrasari			pareggiare																								
1973	NOUN	nsinga	s	f	segno									nzinga	singa														
1974	VERB	arraciatari			arrocare	arrochire								arriciatàrisi															
1975	ADJ	nsinutu	s	m	insensato									nzinutu															
1976	VERB	arrassari			allontanare																								
1977	VERB	nsipalari			chiudere con siepi									nzipalari	assipalari														
1978	ADV	arrassu			lontano									a rrassu	a rassu														
1979	ADJ	nsiringanti	s	f	si dice di voce	acuta e trillante								insiringanti	nziringanti	inziringanti													
1980	VERB	arrastiari			seguire le tracce di una fiera o selvaggina																								
1981	VERB	nsiringari			penetrare									nziringari															
1982	VERB	arrazzari			recedere	rinculare	arrestarsi	negarsi																					
1983	VERB	nsirrattizzari			fare l'impalcatura dei tetti									nzirrattizzari															
1984	VERB	arrazzicunari			essere preso dalla ruggine																								
1985	VERB	nsirtari			indovinare	colpire nel segno								nzirtari															
1986	ADV	arrè			indietro	nuovamente	di nuovo							arreri	arreti	arredu	arretu	arreru	arredi										
1987	NOUN	nsiru	s	m	orcio	grande vaso di creta								nziru															
1988	ADV	arredi			indietro	nuovamente	di nuovo							arreri	arreti	arredu	arretu	arreru	arrè										
1989	VERB	nsitari			innestare									nzitari															
1990	NOUN	arrèpitu	s	m	chiacchierio	blateramento	gemito							rèpitu															
1991	NOUN	nsitu	s	m	innesto									nzitu															
1992	ADV	arreri			indietro	nuovamente	di nuovo							arredi	arreti	arredu	arretu	arreru	arrè	arrì									
1993	NOUN	nsòlia	s	f	sorta d'uva									nzolia															
1994	ADV	arreti			indietro									arreri	arredi	arredu	arretu	arreru	arrè										
1995	ADV	nsusu			in su									n susu															
1996	ADV	arretu			indietro									arreri	arreti	arredu	arredi	arreru	arrè										
1997	ADV	nsusuliddu			un po' più in su									n susuliddu															
1998	VERB	arriari			calumare																								
1999	VERB	nsuvariri			intorpidire									nzuvariri	nzavarari														
2000	VERB	arribbicari			replicare									riplicari															
2001	ADV	nta			in	dentro								nna	nda														
2002	VERB	arribbuccari			rimboccare																								
2003	ADP	ntâ	s	f	nella									nt'â	nt'a	nta la	nti la	nti a	nta a										
2004	INTJ	arricciccà			incitamento alle bestie da soma									arraccicà	ariccè														
2005	ADJ	ntabbarratu	s	f	imbacuccato									ntabarratu															
2006	VERB	arricintari			sciacquare	risciacquare	lavari con acqua limpida																						
2007	VERB	ntabbaccari			tacersi	tacere								intabbaccari															
2008	VERB	arricriari			confortare	ricreare	sollevare																						
2009	VERB	ntabbanari			mettere il gabbano																								
2010	ADP	dâ	s	f	della									d'â	d'a	di la	râ	r'â	r'a	ri la									
2011	ADP	dâ	s	f	dalla									d'â	d'a	di la	râ	r'â	r'a	ri la									
2012	VERB	arriddùciri			ridurre	mutare								arridùciri															
2013	VERB	ntabbariniri			sbalordire	diventare insensato								ntampariniri															
2014	NOUN	dàbbisu	s	m	panace	spondilio																							
2015	VERB	arriffari			accigliarsi	rabbuffarsi																							
2016	VERB	arriffari			arricciare									ngrinfari	ngrinzari	ngrifari													
2017	VERB	ntabbarrari			imbacuccarsi	ammantellarsi								ntabarrari															
2018	NOUN	dagala	s	f	terra declive alla sponda del fiume									dasciala															
2019	VERB	arriiri			favorire																								
2020	ADJ	ntabbiatu	s	m	indurito																								
2021	NOUN	dagali	s	m	cintura che si appende al collo per portare la spada																								
2022	VERB	arrimarrari			inzaccherare									allimarrari															
2023	VERB	ntacciari			imbullettare le suole																								
2024	NOUN	daguara	s	f	mesentere del maiale	mesenterio del suino																							
2025	VERB	arrimazzari			sbattere malamente a terra	buttare								arramazzari															
2026	VERB	ntaddari			tallire									ntaddiri															
2027	ADV	dagura			per tempo									daura															
2028	VERB	arrimbalari			urtare	scuotere																							
2029	VERB	ntaddiri			tallire									ntaddari															
2030	VERB	arrimbari			arrembare	abbordare								arrammari															
2031	VERB	ntaiari			inzaccherare									ntajari															
2032	ADV	dalla-ca-talla			per esprimere un'azione continuata e celere																								
2033	ADJ	arrimeiu	s	m	ozioso																								
2034	NOUN	ntalmu	s	m	catafalco	letto da morto	palco	impalcatura						tàlamu	ntarmu	tarmu													
2035	NOUN	damaggiu	s	m	danno									damaiu	damaju	dammaggiu													
2036	VERB	arrimiggiari			mettere in ordine																								
2037	VERB	ntamari			sbalordire																								
2038	NOUN	damaiu	s	m	danno									damaggiu	damaju	dammaggiu													
2039	VERB	arriminari			agitare	mescolare																							
2040	ADJ	ntamatu	s	m	sbalordito																								
2041	ADV	dammiru			davvero	veramente								daveru	davveru														
2042	VERB	arrimiscari			rimestare																								
2043	ADV	ntamìa			cioè																								
2044	NOUN	dammusu	s	m	abitazione in pietra con il tetto a volta	volta reale																							
2045	VERB	arrimuddari			ammollire																								
2046	VERB	ntammarari			marinare	salare																							
2047	ADV	dananti			davanti									davanti															
2048	NOUN	arrìmula	s	f	specie di riprensione diretta ai recidivi																								
2049	NOUN	ntammaru	s	m	condimento																								
2050	VERB	dangaliari			spingere	muovere																							
2051	NOUN	arrimunna	s	f	rimondatura degli alberi																								
2052	VERB	ntampanari			istupidire																								
2053	VERB	danguliari			spassarsela nell'ozio									ddanguliari															
2054	VERB	arrimunnari			rimondare	potare																							
2055	ADJ	ntampanatu	s	m	sciocco	istupidito																							
2056	NOUN	dantella	s	f	merletto																								
2057	VERB	arrimuttari			respingere	rifiutare	sbattere indietro	rimuovere	disprezzare	malmenare																			
2058	ADJ	ntampanu	s	m	sciocco																								
2059	NOUN	danti	s	m	daino comune									addanti															
2060	VERB	arrinansari			rinalzare									arrinausari															
2061	VERB	ntampariniri			sbalordire	diventare insensato								ntabbariniri															
2062	NOUN	darbu	s	m	misura d'acqua																								
2063	VERB	arrinari			tirarsi dietro per le briglie una bestia da soma																								
2064	VERB	ntampasiri			istupidire									ntampasuniri															
2065	NOUN	dàrdanu	s	m	frassino ornello									dàrdaru															
2066	VERB	arrinausari			rinalzare									arrinansari															
2067	ADJ	ntampasuni	s	m	sciocco	stupido																							
2068	ADV	darreri			indietro									darredi	darreti	darredu	darretu	darreru	darrè	d'arreri	d'arredi	d'arreti	d'arredu	d'arretu	d'arreru	d'arrè			
2069	VERB	arringari			collocare in fila																								
2070	VERB	ntampasuniri			istupidire									ntampasiri															
2071	NOUN	darvana	s	f	ricino									carvana	carrana	caruana													
2072	NOUN	ntantiddu	s	m	tentatore																								
2073	NOUN	dasciala	s	f	campo vicino al fiume									dagala															
2074	NOUN	arrinnatariu	s	m	appaltatore									arrennatariu															
2075	VERB	ntantuliari			perder tempo	dondolarsela																							
2076	VERB	dasciari			lasciare																								
2077	VERB	arrinzinari			essere preso dalla ruggine									arrisinari															
2078	ADJ	ntapanatu	s	m	pieno fino all'orlo									ntimpanatu	ntipanatu														
2079	NOUN	dàttula	s	f	dattero									àttula	ràttula														
2080	NOUN	arripezzu	s	m	rappezzo																								
2081	NOUN	ntappa			sciocco																								
